manufacturer,model_name,price,url,movement_type,metal_type,hour_markers,bezel_type,years_available,discontinued
Rolex,Datejust 41,11795.00,https://www.bobswatches.com/rolex-datejust-41-ref-126334-silver-dial.html,Automatic,Stainless Steel,Index,Fluted,2010 - Present,No
Rolex,Submariner,36995.00,https://www.bobswatches.com/rolex-submariner-116619-blue-smurf.html,Automatic,White Gold,Luminous,Timing,2010 - Present,Yes
Rolex,Daytona,44495.00,https://www.bobswatches.com/rolex-daytona-116505-everose-gold.html,Automatic,Rose Gold,Index,Tachymetric,2010 - Present,Not listed
Rolex,Datejust 41,13995.00,https://www.bobswatches.com/pre-owned-rolex-datejust-41-ref-126334-slate-diamond-dial.html,Automatic,Stainless Steel,Diamond,Fluted,2010 - Present,No
Rolex,OysterDate,3995.00,https://www.bobswatches.com/rolex-oysterdate-ref-6694-steel-oyster.html,Manual,Stainless Steel,Index,Smooth,1970s,Yes
Rolex,Submariner,9995.00,https://www.bobswatches.com/vintage-rolex-submariner-ref-1680-stainless-steel.html,Automatic,Stainless Steel,Luminous,Timing,1970s,Yes
Rolex,Daytona,36995.00,https://www.bobswatches.com/rolex-daytona-ref-116528-black-dial.html,Automatic,Yellow Gold,Index,Tachymetric,2010 - Present,Yes
Rolex,Submariner,12995.00,https://www.bobswatches.com/rolex-submariner-124060-stainless-steel.html,Automatic,Stainless Steel,Luminous,Timing,2010 - Present,No
Rolex,Datejust 36,9295.00,https://www.bobswatches.com/rolex-datejust-126234-oyster-bracelet.html,Automatic,Stainless Steel,Index,Fluted,2010 - Present,No
Rolex,Day-Date 36,38995.00,https://www.bobswatches.com/rolex-day-date-36-ref-128238-champagne-dial.html,Automatic,Yellow Gold,Index,Fluted,2010 - Present,No
Rolex,Explorer II,9495.00,https://www.bobswatches.com/rolex-explorer-ii-216570-white.html,Automatic,Stainless Steel,Luminous,GMT,2010 - Present,Yes
Rolex,Oyster Perpetual 26,3795.00,https://www.bobswatches.com/rolex-ladies-oyster-perpetual-67180-steel.html,Automatic,Stainless Steel,Index,Smooth,1990s,Yes
Rolex,Day-Date 36,41595.00,https://www.bobswatches.com/rolex-day-date-36-ref-128238-diamond-dial.html,Automatic,Yellow Gold,Diamond,Fluted,2010 - Present,No
Rolex,Datejust 36,5995.00,https://www.bobswatches.com/rolex-datejust-1601-champagne.html,Automatic,Steel and Gold,Index,Fluted,1970s,Yes
Rolex,Datejust 41,14295.00,https://www.bobswatches.com/pre-owned-rolex-datejust-41-ref-126333-black-dial.html,Automatic,Steel and Gold,Index,Fluted,2010 - Present,No
Rolex,Day-Date 36,44995.00,https://www.bobswatches.com/rolex-day-date-18239-18k-white-gold.html,Automatic,White Gold,Diamond,Fluted,1990s,Yes
Rolex,Datejust 31,7995.00,https://www.bobswatches.com/rolex-datejust-278240-blue-dial.html,Automatic,Stainless Steel,Roman,Smooth,2010 - Present,No
Rolex,Oyster Perpetual 26,3995.00,https://www.bobswatches.com/ladies-rolex-oyster-perpetual-ref-76030-blue-dial.html,Automatic,Stainless Steel,Arabic,Engine Turned,1990s,Yes
Rolex,Datejust 36,5695.00,https://www.bobswatches.com/rolex-datejust-36-ref-1601-black-dial.html,Automatic,Steel and Gold,Index,Fluted,1970s,Yes
Rolex,Datejust 36,5695.00,https://www.bobswatches.com/rolex-datejust-36-16220-silver-dial.html,Automatic,Stainless Steel,Index,Engine Turned,1980s,Yes
Rolex,Daytona,27995.00,https://www.bobswatches.com/rolex-cosmograph-daytona-126500-black-dial.html,Automatic,Stainless Steel,Index,Tachymetric,2010 - Present,No
